,count,Cell.line,time.groups,analysis.groups,time.groups2
50001_N_1,59.11080221,HuH7,early,HuH7.early,early
50000_N_1,72.87909181,HuH7,NA,HuH7.control,control
50002_N_1,67.98418688,HuH7,early,HuH7.early,early
50003_N_1,64.48871844,HuH7,early,HuH7.early,early
50005_N_1,60.86669566,HuH7,early,HuH7.early,early
50006_N_1,81.49567557,HuH7,mid,HuH7.mid,mid
50007_N_1,60.76870695,HuH7,late,HuH7.late,late
50008_N_1,60.68215765,HuH7,late,HuH7.late,late
50009_N_1,67.26180434,HuH7,NA,HuH7.control,control
50011_N_1,47.70925714,HuH7,early,HuH7.early,early
50013_N_1,60.36968978,HuH7,mid,HuH7.mid,mid
50014_N_1,75.28484305,HuH7,NA,HuH7.control,control
50015_N_1,92.96318153,HuH7,mid,HuH7.mid,mid
50018_N_1,57.98425776,HuH7,early,HuH7.early,early
50019_N_1,127.7554261,HuH7,early,HuH7.early,early
50021_N_1,108.9534433,HuH7,early,HuH7.early,early
50022_N_1,53.25307595,HuH7,mid,HuH7.mid,mid
50023_N_1,62.93200697,HuH7,mid,HuH7.mid,mid
50024_N_1,71.33823429,HuH7,late,HuH7.late,late
50025_N_1,50.06928682,HuH7,NA,HuH7.control,control
50026_N_1,67.27823793,HuH7,early,HuH7.early,early
50027_N_1,98.47283116,HuH7,early,HuH7.early,early
50030_N_1,82.86074657,HuH7,NA,HuH7.control,control
50031_N_1,59.40758605,HuH7,late,HuH7.late,late
50033_N_1,38.52996624,HuH7,mid,HuH7.mid,mid
50034_N_1,61.85024249,HuH7,late,HuH7.late,late
50035_N_1,86.45794946,HuH7,late,HuH7.late,late
50036_N_1,17.36847057,HepG2,late,HepG2.late,late
50038_N_1,166.7239226,HepG2,mid,HepG2.mid,mid
50039_N_1,89.64485937,HepG2,early,HepG2.early,early
50040_N_1,39.04635759,HepG2,NA,HepG2.control,control
50041_N_1,21.99776896,HepG2,late,HepG2.late,late
50042_N_1,158.6114268,HepG2,mid,HepG2.mid,mid
50043_N_1,22.15144219,HepG2,NA,HepG2.control,control
50044_N_1,36.94998031,HepG2,early,HepG2.early,early
50045_N_1,17.1014325,HepG2,NA,HepG2.control,control
50046_N_1,22.15794699,HepG2,NA,HepG2.control,control
50047_N_1,188.0404259,HepG2,mid,HepG2.mid,mid
50048_N_1,65.25461727,HepG2,mid,HepG2.mid,mid
50049_N_1,71.35201864,HepG2,late,HepG2.late,late
